,dataset,occurence
0,AMBIT Database Database,2.0
1,Aquire,1.0
2,Aranda et al. (2017),1.0
3,Austin et al. (2015),1.0
4,Benfenati (2011),1.0
5,Canadian Domestic Substances list,1.0
6,Cassani et al. (2013),1.0
7,Cassotti et al. (2015),1.0
8,Cheng et al. (2012),1.0
9,Devillers (2001),1.0
10,EAT5,3.0
11,ECETOC,1.0
12,ECHA,2.0
13,ECHA database,2.0
14,ECHA’s risk assessment report,1.0
15,ECOSAR,2.0
16,ECOTOX Database,20.0
17,EFSA,2.0
18,EPA fathead minnow acute toxicity database (EPAFHM),1.0
19,ESIS,1.0
20,Eldred et al. (1999),1.0
21,EnviChem,1.0
22,EnviroTox,1.0
23,Environment (2014),1.0
24,European Food Safety Authority (EFSA) Database,1.0
25,Fathead minnow database,2.0
26,Furuhama et al. 2016,1.0
27,HSDB,1.0
28,Hommel compendium,1.0
29,INERIS,1.0
30,Japanese Ministry of Environment,2.0
31,Japanese Ministry of Environment (2018),2.0
32,Japanese Ministry of the Environment,2.0
33,Japanese National Institute of Technology and Evaluation (NITE),1.0
34,Jia et al. (2020),1.0
35,Khan et al. (2019),1.0
36,Khan et al. (2019a),1.0
37,Khan et al. 2019,1.0
38,Khan et al. 2019a,1.0
39,Khan et al. 2019b,1.0
40,Li et al. (2017),2.0
41,Lyakurwa et al. (2014),2.0
42,Maran et al. (2007),1.0
43,Martin and Young (2001),2.0
44,Mid-Continent Ecology Division of US EPA ‘National Health and Environmental Effect Research Laboratory,1.0
45,OASIS,3.0
46,OECD QSAR Toolbox,3.0
47,Office of Pesticide Programs (OPP) Pesticides Ecotoxicity Database,2.0
48,PBT database,1.0
49,PPDB (2015),1.0
50,Papa et al. (2005),1.0
51,Pesticide Properties Database (PPDB),1.0
52,Pesticides Properties Database (PPDB),1.0
53,Raevsky et al. (2008),1.0
54,Russom et al. (1997),3.0
55,Sheffield et al. (2019),1.0
56,Singh et al. (2013),1.0
57,Singh et al. (2014),1.0
58,Su et al. (2014),1.0
59,Threshold Database provided by Procter & Gamble,1.0
60,Toropov 2017,1.0
61,Toropov et al. (2017),1.0
62,ToxValDB,2.0
63,Toxicity Estimation Software Tool (T.E.S.T.),2.0
64,US EPA,1.0
65,USEtox database,1.0
66,Wei et al. (2015),1.0
67,Wu et al. (2016),1.0
68,Wu et al. 2016,1.0
69,Yang et al. (2019),1.0
70,data provided by Solvay,1.0
71,eChem,1.0
72,not reported,1.0
73,other unclear,1.0
